Geneids	Series15_HealthyLungBiopsy_2	Series15_COVID19Lung_2	Series15_COVID19Lung_1
DOCK7	195	0	1
ANGPTL3	0	0	0
ATG4C	127	15	0
LINC00466	0	0	0
FOXD3	0	0	0
ALG6	149	20	0
ITGB3BP	105	19	0
EFCAB7	83	0	0
DLEU2L	0	0	0
PGM1	1302	36	0
ROR1	63	1	0
UBE2U	0	0	0
CACHD1	352	11	0
MIR4794	0	0	0
RAVER2	334	6	0
JAK1	3000	426	16
MIR3671	2	0	0
MIR101-1	0	0	0
AK4	306	2	2
DNAJC6	58	6	0
LEPROT	2164	63	3
LEPR	915	0	0
PDE4B	1258	993	48
SGIP1	556	7	0
MIR3117	0	0	0
TCTEX1D1	368	5	0
INSL5	0	0	0
WDR78	59	19	0
MIER1	669	337	19
SLC35D1	172	0	2
C1orf141	13	0	0
IL23R	9	2	0
IL12RB2	8	7	0
SERBP1	4306	274	12
GADD45A	2414	27	3
GNG12	1733	88	3
GNG12-AS1	17	0	0
DIRAS3	85	0	0
WLS	1507	66	0
MIR1262	0	0	0
RPE65	0	0	0
DEPDC1	4	0	0
LRRC7	5	0	0
PIN1P1	5	0	0
LRRC40	206	0	0
SRSF11	1968	68	3
ANKRD13C	445	14	0
HHLA3	328	0	0
CTH	62	0	0
PTGER3	41	0	0
ZRANB2-AS1	0	0	0
ZRANB2	924	33	0
MIR186	2	0	0
ZRANB2-AS2	11	0	0
NEGR1	170	0	0
NEGR1-IT1	0	0	0
LRRIQ3	0	0	0
FPGT-TNNI3K	0	0	0
FPGT	129	0	0
TNNI3K	0	0	0
CRYZ	335	12	0
TYW3	367	12	0
LHX8	2	0	0
SLC44A5	6	0	1
ACADM	452	14	0
RABGGTB	1164	48	0
SNORD45C	9	0	0
SNORD45A	0	0	0
SNORD45B	10	0	0
MSH4	7	0	0
ASB17	0	0	0
ST6GALNAC3	214	14	0
ST6GALNAC5	43	0	0
PIGK	287	9	0
AK5	28	0	0
ZZZ3	292	10	0
USP33	521	7	0
NEXN	692	108	9
FUBP1	804	29	0
DNAJB4	610	1	0
GIPC2	270	8	0
MGC27382	0	0	0
PTGFR	46	0	0
IFI44L	387	1040	60
IFI44	673	534	25
MIR548AP	0	0	0
TTLL7	34	0	0
PRKACB	299	37	0
SAMD13	39	0	0
UOX	4	0	0
DNASE2B	64	18	0
RPF1	794	48	0
GNG5	2963	2231	89
CTBS	325	60	2
SSX2IP	108	0	0
LPAR3	24	0	0
MCOLN2	57	24	0
MCOLN3	88	0	0
WDR63	10	0	0
MIR4423	0	0	0
SYDE2	33	0	0
C1orf52	484	23	0
BCL10	468	23	0
LOC646626	19	0	0
DDAH1	827	184	0
CYR61	4835	423	49
ZNHIT6	478	23	5
COL24A1	37	0	0
ODF2L	428	8	0
CLCA2	9	0	0
CLCA1	0	0	0
CLCA4	0	0	0
CLCA3P	2	7	0
SH3GLB1	2442	268	1
HS2ST1	326	2	0
LMO4	956	31	0
PKN2	420	4	3
GTF2B	617	226	8
RBMXL1	401	38	2
GBP3	151	988	23
GBP1	774	2436	48
GBP2	1132	339	24
GBP7	12	0	0
GBP4	1213	1386	74
GBP5	68	729	41
GBP6	8	0	0
GBP1P1	106	78	5
LRRC8B	361	18	0
LRRC8C	575	34	0
LRRC8D	152	11	0
GEMIN8P4	15	0	1
ZNF326	369	10	0
BARHL2	0	0	0
ZNF644	295	17	0
HFM1	14	0	0
CDC7	211	0	0
TGFBR3	1533	29	0
